Local Context,Question,Answer,Perturbation?,Perturbation Target,Perturbation Category,Perturbation Effect
"Person 1: where did Emma go
Person 2: she said she was in the cellar
Person 1: did you leave the oranges in the garage
Person 2: I left the watermelons there
Person 1: did Noah leave them there
Person 2: he didn't
Person 1: are some of the strawberries in the backyard
Person 2: two are there",are the oranges in the garage?,No,FALSE,None,-,-
"Person 1: where did Emma go
Person 2: she said she was in the cellar
Person 1: did you leave the oranges in the garage
Person 2: I left the watermelons there
Person 1: did Noah leave them there
Person 2: he did
Person 1: are some of the strawberries in the backyard
Person 2: two are there",are the oranges in the garage?,Yes,TRUE,Context,Negation,Flip
"Person 1: where did Emma go
Person 2: she said she was in the cellar
Person 1: did you leave the oranges in the garage
Person 2: I left the watermelons there
Person 1: did Noah leave them there
Person 2: he didn't
Person 1: are some of the strawberries in the backyard
Person 2: two are there",are the watermelons in the garage?,Yes,TRUE,Question,Variable Substitution,Flip
"Person 1: where did Emma go
Person 2: she said she was in the cellar
Person 1: did you leave the oranges in the garage
Person 2: I left the watermelons there
Person 1: did Noah leave them there
Person 2: he didn't
Person 1: are some of the strawberries in the backyard
Person 2: three are there",are the oranges in the garage?,No,TRUE,Context,Quantity Change,Invarianat
"Person 1: where did Emma go
Person 2: she said she was in the cellar
Person 1: did you leave the watermelons in the garage
Person 2: I left the oranges there
Person 1: did Noah leave them there
Person 2: he didn't
Person 1: are some of the strawberries in the backyard
Person 2: two are there",are the oranges in the garage?,Yes,TRUE,Context,Variable Swap,Flip
"Alice: where can I get the oranges
Bob: Elizabeth and I put the oranges in the pantry
Alice: what about the asparagus
Bob: the asparagus are in the porch
Alice: how about the turnips
Bob: Owen left them in the pantry and walked to the playroom
Alice: how many are in the pantry
Bob: one or two
Alice: where can I get the grapes
Bob: the grapes are in the pantry or the hall
Alice: are all the grapefruits in the playroom
Bob: some of the grapefruits are in the playroom
Alice: are some of the pumpkins in the porch
Bob: five are in the porch
Alice: are some of the peaches in the hall
Bob: five are there
Alice: are some of the asparagus in the porch
Bob: five are in the porch
Alice: are some of the cabbages in the playroom
Bob: four are in the playroom",are all the grapefruits in the playroom ?,No,FALSE,None,-,-
"Alice: where can I get the oranges
Bob: Elizabeth and I put the oranges in the pantry
Alice: what about the asparagus
Bob: the asparagus are in the porch
Alice: how about the turnips
Bob: Owen left them in the pantry and walked to the playroom
Alice: how many are in the pantry
Bob: one or two
Alice: where can I get the grapes
Bob: the grapes are in the pantry or the hall
Alice: are all the grapefruits in the playroom
Bob: All of the grapefruits are in the playroom
Alice: are some of the pumpkins in the porch
Bob: five are in the porch
Alice: are some of the peaches in the hall
Bob: five are there
Alice: are some of the asparagus in the porch
Bob: five are in the porch
Alice: are some of the cabbages in the playroom
Bob: four are in the playroom",are all the grapefruits in the playroom ?,Yes,TRUE,Context,Quantifier change,Flip
"Alice: where can I get the oranges
Bob: Elizabeth and I put the oranges in the pantry
Alice: what about the asparagus
Bob: the asparagus are in the porch
Alice: how about the turnips
Bob: Owen left them in the pantry and walked to the playroom
Alice: how many are in the pantry
Bob: one or two
Alice: where can I get the grapes
Bob: the grapes are in the pantry or the hall
Alice: are all the grapefruits in the playroom
Bob: some of the grapefruits are in the playroom
Alice: are some of the pumpkins in the porch
Bob: five are in the porch
Alice: are some of the peaches in the hall
Bob: five are there
Alice: are some of the asparagus in the porch
Bob: five are in the porch
Alice: are some of the cabbages in the playroom
Bob: four are in the playroom",are all the turnips in the playroom ?,No,TRUE,Question,Variable Substitution,Invarianat
"Alice: where can I get the oranges
Bob: Elizabeth and I put the oranges in the pantry
Alice: what about the asparagus
Bob: the asparagus are in the porch
Alice: how about the turnips
Bob: Owen left them in the pantry and walked to the playroom
Alice: how many are in the pantry
Bob: one or two
Alice: where can I get the grapes
Bob: the grapes are in the pantry or the hall
Alice: are all the grapefruits in the playroom
Bob: some grapefruits aren't in the playroom
Alice: are some of the pumpkins in the porch
Bob: five are in the porch
Alice: are some of the peaches in the hall
Bob: five are there
Alice: are some of the asparagus in the porch
Bob: five are in the porch
Alice: are some of the cabbages in the playroom
Bob: four are in the playroom",are all the grapefruits in the playroom ?,No,TRUE,Context,Negation,Invarianat
"Alice: where can I get the oranges
Bob: Elizabeth and I put the oranges in the pantry
Alice: what about the asparagus
Bob: the asparagus are in the porch
Alice: how about the turnips
Bob: Owen left them in the pantry and walked to the playroom
Alice: how many are in the pantry
Bob: one or two
Alice: where can I get the grapes
Bob: the grapes are in the pantry or the hall
Alice: are all the grapefruits in the playroom
Bob: some of the grapefruits are in the playroom
Alice: are some of the pumpkins in the porch
Bob: four are in the porch
Alice: are some of the peaches in the hall
Bob: five are there
Alice: are some of the asparagus in the porch
Bob: five are in the porch
Alice: are some of the cabbages in the playroom
Bob: four are in the playroom",are all the grapefruits in the playroom ?,No,TRUE,Context,Quantity Change,Invarianat
