Seed Index,Local Context,Question,Answer,Perturbation?,Perturbation Target,Perturbation Category,Perturbation Effect,Utterance Index,Old Word,New Word
0,"1: Alice: Did you see the grapes?
2: Bob: Elizabeth put them in the pantry.
3: Alice: And the pumpkins?
4: Bob: Owen left those in the playroom.
5: Alice: How many grapes are in the pantry?
6: Bob: There are about ten.
7: Alice: Are all the pumpkins in the playroom?
8: Bob: Yes, all of them are there.
9: Alice: Where did you see Owen?
10: Bob: I saw him in the playroom, arranging the pumpkins.
11: Alice: Then where did Elizabeth go?
12: Bob: She stayed in the pantry to sort out the fruits.
13: Alice: Did Owen place any grapes in the pantry too?
14: Bob: No, Elizabeth handled all the grapes.
15: Alice: Did Elizabeth leave any pumpkins in the playroom?
16: Bob: No, that was all Owen’s doing.
17: Alice: Were you there when they were organizing?
18: Bob: Yes, I helped Owen with the pumpkins in the playroom.",Did Elizabeth place ten grapes at pantry?,yes,FALSE,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
0,"1: Alice: Did you see the grapes?
2: Bob: Elizabeth put them in the pantry.
3: Alice: And the pumpkins?
4: Bob: Owen left those in the playroom.
5: Alice: How many grapes are in the pantry?
6: Bob: There are about ten.
7: Alice: Are all the pumpkins in the pantry?
8: Bob: Yes, all of them are there.
9: Alice: Where did you see Owen?
10: Bob: I saw him in the playroom, arranging the pumpkins.
11: Alice: Then where did Elizabeth go?
12: Bob: She stayed in the pantry to sort out the fruits.
13: Alice: Did Owen place any grapes in the pantry too?
14: Bob: No, Elizabeth handled all the grapes.
15: Alice: Did Elizabeth leave any pumpkins in the playroom?
16: Bob: No, that was all Owen’s doing.
17: Alice: Were you there when they were organizing?
18: Bob: Yes, I helped Owen with the pumpkins in the playroom.",Did Elizabeth place ten grapes at pantry?,yes,TRUE,Context,Variable Substitution: location,Possible,7,playroom,pantry
0,"1: Alice: Did you see the grapes?
2: Bob: Owen put them in the pantry.
3: Alice: And the pumpkins?
4: Bob: Owen left those in the playroom.
5: Alice: How many grapes are in the pantry?
6: Bob: There are about ten.
7: Alice: Are all the pumpkins in the playroom?
8: Bob: Yes, all of them are there.
9: Alice: Where did you see Owen?
10: Bob: I saw him in the playroom, arranging the pumpkins.
11: Alice: Then where did Elizabeth go?
12: Bob: She stayed in the pantry to sort out the fruits.
13: Alice: Did Owen place any grapes in the pantry too?
14: Bob: No, Elizabeth handled all the grapes.
15: Alice: Did Elizabeth leave any pumpkins in the playroom?
16: Bob: No, that was all Owen’s doing.
17: Alice: Were you there when they were organizing?
18: Bob: Yes, I helped Elizabeth with the pumpkins in the playroom.",Did Elizabeth place ten grapes at pantry?,cannot answer,TRUE,Context,Variable Swap: agent,Possible,swapped between indexes 18 and 2,Owen,Elizabeth
0,"1: Alice: Did you see the grapes?
2: Bob: Elizabeth put them in the pantry.
3: Alice: And the pumpkins?
4: Bob: Owen left those in the playroom.
5: Alice: How many grapes are in the pantry?
6: Bob: There are about ten.
7: Alice: Are all the pumpkins in the playroom?
8: Bob: Yes, all of them are there.
9: Alice: Where did you see Owen?
10: Bob: I saw him in the playroom, arranging the pumpkins.
11: Alice: Then where did Elizabeth go?
12: Bob: She stayed in the pantry to sort out the fruits.
13: Alice: Did Owen place any grapes in the pantry too?
14: Bob: No, Elizabeth handled some the grapes.
15: Alice: Did Elizabeth leave any pumpkins in the playroom?
16: Bob: No, that was all Owen’s doing.
17: Alice: Were you there when they were organizing?
18: Bob: Yes, I helped Owen with the pumpkins in the playroom.",Did Elizabeth place ten grapes at pantry?,yes,TRUE,Context,Quantifier Change,Possible,14,all,some
0,"1: Alice: Did you see the grapes?
2: Bob: Elizabeth put them in the pantry.
3: Alice: Or the pumpkins?
4: Bob: Owen left those in the playroom.
5: Alice: How many grapes are in the pantry?
6: Bob: There are about ten.
7: Alice: Are all the pumpkins in the playroom?
8: Bob: Yes, all of them are there.
9: Alice: Where did you see Owen?
10: Bob: I saw him in the playroom, arranging the pumpkins.
11: Alice: Then where did Elizabeth go?
12: Bob: She stayed in the pantry to sort out the fruits.
13: Alice: Did Owen place any grapes in the pantry too?
14: Bob: No, Elizabeth handled all the grapes.
15: Alice: Did Elizabeth leave any pumpkins in the playroom?
16: Bob: No, that was all Owen’s doing.
17: Alice: Were you there when they were organizing?
18: Bob: Yes, I helped Owen with the pumpkins in the playroom.",Did Elizabeth place ten grapes at pantry?,yes,TRUE,Context,Logical Connective Change,Possible,3,And,Or
0,"1: Alice: Did you see the grapes?
2: Bob: Elizabeth put them in the pantry.
3: Alice: And the pumpkins?
4: Bob: Owen left those in the playroom.
5: Alice: How many grapes are in the pantry?
6: Bob: There are about ten.
7: Alice: Are all the pumpkins in the playroom?
8: Bob: Yes, all of them are there.
9: Alice: Where did you see Owen?
10: Bob: I saw him in the playroom, arranging the pumpkins.
11: Alice: Then where did Elizabeth go?
12: Bob: She stayed in the pantry to sort out the fruits.
13: Alice: Did Owen place any grapes in the pantry too?
14: Bob: No, Elizabeth handled all the grapes.
15: Alice: Did Elizabeth leave any pumpkins in the playroom?
16: Bob: No, that was all Owen’s doing.
17: Alice: Were you there when they were organizing?
18: Bob: Yes, I helped Owen with the pumpkins in the playroom.",Did Elizabeth place eleven grapes at pantry?,no,FALSE,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
0,"1: Alice: Did you see the grapes?
2: Bob: Elizabeth put them in the pantry.
3: Alice: And the pumpkins?
4: Bob: Owen left those in the playroom.
5: Alice: How many grapes are in the pantry?
6: Bob: There are about ten.
7: Alice: Are all the pumpkins in the pantry?
8: Bob: Yes, all of them are there.
9: Alice: Where did you see Owen?
10: Bob: I saw him in the playroom, arranging the pumpkins.
11: Alice: Then where did Elizabeth go?
12: Bob: She stayed in the pantry to sort out the fruits.
13: Alice: Did Owen place any grapes in the pantry too?
14: Bob: No, Elizabeth handled all the grapes.
15: Alice: Did Elizabeth leave any pumpkins in the playroom?
16: Bob: No, that was all Owen’s doing.
17: Alice: Were you there when they were organizing?
18: Bob: Yes, I helped Owen with the pumpkins in the playroom.",Did Elizabeth place eleven grapes at pantry?,no,TRUE,Context,Variable Substitution: location,Possible,7,playroom,pantry
0,"1: Alice: Did you see the grapes?
2: Bob: Owen put them in the pantry.
3: Alice: And the pumpkins?
4: Bob: Owen left those in the playroom.
5: Alice: How many grapes are in the pantry?
6: Bob: There are about ten.
7: Alice: Are all the pumpkins in the playroom?
8: Bob: Yes, all of them are there.
9: Alice: Where did you see Owen?
10: Bob: I saw him in the playroom, arranging the pumpkins.
11: Alice: Then where did Elizabeth go?
12: Bob: She stayed in the pantry to sort out the fruits.
13: Alice: Did Owen place any grapes in the pantry too?
14: Bob: No, Elizabeth handled all the grapes.
15: Alice: Did Elizabeth leave any pumpkins in the playroom?
16: Bob: No, that was all Owen’s doing.
17: Alice: Were you there when they were organizing?
18: Bob: Yes, I helped Elizabeth with the pumpkins in the playroom.",Did Elizabeth place eleven grapes at pantry?,cannot answer,TRUE,Context,Variable Swap: agent,Possible,swapped between indexes 18 and 2,Owen,Elizabeth
0,"1: Alice: Did you see the grapes?
2: Bob: Elizabeth put them in the pantry.
3: Alice: And the pumpkins?
4: Bob: Owen left those in the playroom.
5: Alice: How many grapes are in the pantry?
6: Bob: There are about ten.
7: Alice: Are all the pumpkins in the playroom?
8: Bob: Yes, all of them are there.
9: Alice: Where did you see Owen?
10: Bob: I saw him in the playroom, arranging the pumpkins.
11: Alice: Then where did Elizabeth go?
12: Bob: She stayed in the pantry to sort out the fruits.
13: Alice: Did Owen place any grapes in the pantry too?
14: Bob: No, Elizabeth handled some the grapes.
15: Alice: Did Elizabeth leave any pumpkins in the playroom?
16: Bob: No, that was all Owen’s doing.
17: Alice: Were you there when they were organizing?
18: Bob: Yes, I helped Owen with the pumpkins in the playroom.",Did Elizabeth place eleven grapes at pantry?,no,TRUE,Context,Quantifier Change,Possible,14,all,some
0,"1: Alice: Did you see the grapes?
2: Bob: Elizabeth put them in the pantry.
3: Alice: Or the pumpkins?
4: Bob: Owen left those in the playroom.
5: Alice: How many grapes are in the pantry?
6: Bob: There are about ten.
7: Alice: Are all the pumpkins in the playroom?
8: Bob: Yes, all of them are there.
9: Alice: Where did you see Owen?
10: Bob: I saw him in the playroom, arranging the pumpkins.
11: Alice: Then where did Elizabeth go?
12: Bob: She stayed in the pantry to sort out the fruits.
13: Alice: Did Owen place any grapes in the pantry too?
14: Bob: No, Elizabeth handled all the grapes.
15: Alice: Did Elizabeth leave any pumpkins in the playroom?
16: Bob: No, that was all Owen’s doing.
17: Alice: Were you there when they were organizing?
18: Bob: Yes, I helped Owen with the pumpkins in the playroom.",Did Elizabeth place eleven grapes at pantry?,no,TRUE,Context,Logical Connective Change,Possible,3,And,Or
